"","year","ccode","intlwar"
"2109",2010,200,1
"2110",2011,200,1
"2111",2012,200,1
"2112",2013,200,1
"2113",2014,200,1
"2114",2015,200,1
"2115",2016,200,1
"2118",1956,365,1
"2120",1957,93,1
"2121",1964,520,1
"2123",1965,520,1
"2124",1966,520,1
"2125",1967,520,1
"2126",1968,520,1
"2127",1969,520,1
"2128",1970,520,1
"2129",1971,520,1
"2130",1972,520,1
"2131",1973,520,1
"2132",1974,520,1
"2133",1975,520,1
"2134",1976,520,1
"2135",1977,520,1
"2136",1978,520,1
"2137",1979,520,1
"2138",1980,520,1
"2139",1981,520,1
"2140",1982,520,1
"2141",1983,520,1
"2142",1984,520,1
"2143",1985,520,1
"2144",1986,520,1
"2145",1987,520,1
"2146",1988,520,1
"2147",1989,520,1
"2148",1990,520,1
"2149",1991,520,1
"2150",1992,520,1
"2151",1993,520,1
"2152",1994,520,1
"2153",1995,520,1
"2154",1996,520,1
"2155",1997,520,1
"2156",1998,520,1
"2157",1999,520,1
"2158",2000,520,1
"2159",2001,520,1
"2160",2002,520,1
"2161",2003,520,1
"2162",2004,520,1
"2163",2005,520,1
"2164",2006,520,1
"2165",2007,520,1
"2166",2008,520,1
"2167",2009,520,1
"2168",2010,520,1
"2169",2011,520,1
"2170",2012,520,1
"2171",2013,520,1
"2172",2014,520,1
"2173",2015,520,1
"2174",2016,520,1
"2207",1961,616,1
"2221",1962,210,1
"2222",1963,600,1
"2223",1962,820,1
"2224",1963,820,1
"2225",1964,820,1
"2226",1965,820,1
"2227",1966,820,1
"2228",1967,820,1
"2229",1968,820,1
"2230",1969,820,1
"2231",1970,820,1
"2232",1971,820,1
"2233",1972,820,1
"2234",1973,820,1
"2235",1974,820,1
"2236",1975,820,1
"2237",1976,820,1
"2238",1977,820,1
"2239",1978,820,1
"2240",1979,820,1
"2241",1980,820,1
"2242",1981,820,1
"2243",1982,820,1
"2244",1983,820,1
"2245",1984,820,1
"2246",1985,820,1
"2247",1986,820,1
"2248",1987,820,1
"2249",1988,820,1
"2250",1989,820,1
"2251",1990,820,1
"2252",1991,820,1
"2253",1992,820,1
"2254",1993,820,1
"2255",1994,820,1
"2256",1995,820,1
"2257",1996,820,1
"2258",1997,820,1
"2259",1998,820,1
